minbound,shape,unit
-39.6,43,3.6
-115.2,40,3.6
0,11,3.6

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,3,0,0
0,3,1,0.072
0,3,2,0.144
0,3,3,0.173143
0,3,4,0.159429
0,3,5,0.145714
0,3,6,0.157714
0,3,7,0.169714
0,3,8,0.140571
0,3,9,0.0702857
0,3,10,0
0,4,0,0
0,4,1,0.144
0,4,2,0.288
0,4,3,0.346286
0,4,4,0.318857
0,4,5,0.291429
0,4,6,0.315429
0,4,7,0.339429
0,4,8,0.281143
0,4,9,0.140571
0,4,10,0
0,5,0,0
0,5,1,0.189429
0,5,2,0.378857
0,5,3,0.456
0,5,4,0.420857
0,5,5,0.385714
0,5,6,0.406286
0,5,7,0.426857
0,5,8,0.349714
0,5,9,0.174857
0,5,10,0
0,6,0,0
0,6,1,0.208286
0,6,2,0.416572
0,6,3,0.502286
0,6,4,0.465429
0,6,5,0.428571
0,6,6,0.430286
0,6,7,0.432
0,6,8,0.346286
0,6,9,0.173143
0,6,10,0
0,7,0,0
0,7,1,0.227143
0,7,2,0.454286
0,7,3,0.548572
0,7,4,0.51
0,7,5,0.471428
0,7,6,0.454286
0,7,7,0.437143
0,7,8,0.342857
0,7,9,0.171429
0,7,10,0
0,8,0,0
0,8,1,0.223714
0,8,2,0.447429
0,8,3,0.54
0,8,4,0.501429
0,8,5,0.462857
0,8,6,0.437143
0,8,7,0.411429
0,8,8,0.318857
0,8,9,0.159429
0,8,10,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,21,0,0
0,21,1,0
0,21,2,0
0,21,3,0
0,21,4,0
0,21,5,0
0,21,6,0
0,21,7,0
0,21,8,0
0,21,9,0
0,21,10,0
0,22,0,0
0,22,1,0
0,22,2,0
0,22,3,0
0,22,4,0
0,22,5,0
0,22,6,0
0,22,7,0
0,22,8,0
0,22,9,0
0,22,10,0
0,23,0,0
0,23,1,0
0,23,2,0
0,23,3,0
0,23,4,0
0,23,5,0
0,23,6,0
0,23,7,0
0,23,8,0
0,23,9,0
0,23,10,0
0,24,0,0
0,24,1,0
0,24,2,0
0,24,3,0
0,24,4,0
0,24,5,0
0,24,6,0
0,24,7,0
0,24,8,0
0,24,9,0
0,24,10,0
0,25,0,0
0,25,1,0
0,25,2,0
0,25,3,0
0,25,4,0
0,25,5,0
0,25,6,0
0,25,7,0
0,25,8,0
0,25,9,0
0,25,10,0
0,26,0,0
0,26,1,0
0,26,2,0
0,26,3,0
0,26,4,0
0,26,5,0
0,26,6,0
0,26,7,0
0,26,8,0
0,26,9,0
0,26,10,0
0,27,0,0
0,27,1,0
0,27,2,0
0,27,3,0
0,27,4,0
0,27,5,0
0,27,6,0
0,27,7,0
0,27,8,0
0,27,9,0
0,27,10,0
0,28,0,0
0,28,1,0
0,28,2,0
0,28,3,0
0,28,4,0
0,28,5,0
0,28,6,0
0,28,7,0
0,28,8,0
0,28,9,0
0,28,10,0
0,29,0,0
0,29,1,0
0,29,2,0
0,29,3,0
0,29,4,0
0,29,5,0
0,29,6,0
0,29,7,0
0,29,8,0
0,29,9,0
0,29,10,0
0,30,0,0
0,30,1,0
0,30,2,0
0,30,3,0
0,30,4,0
0,30,5,0
0,30,6,0
0,30,7,0
0,30,8,0
0,30,9,0
0,30,10,0
0,31,0,0
0,31,1,0
0,31,2,0
0,31,3,0
0,31,4,0
0,31,5,0
0,31,6,0
0,31,7,0
0,31,8,0
0,31,9,0
0,31,10,0
0,32,0,0
0,32,1,0
0,32,2,0
0,32,3,0
0,32,4,0
0,32,5,0
0,32,6,0
0,32,7,0
0,32,8,0
0,32,9,0
0,32,10,0
0,33,0,0
0,33,1,0
0,33,2,0
0,33,3,0
0,33,4,0
0,33,5,0
0,33,6,0
0,33,7,0
0,33,8,0
0,33,9,0
0,33,10,0
0,34,0,0
0,34,1,0
0,34,2,0
0,34,3,0
0,34,4,0
0,34,5,0
0,34,6,0
0,34,7,0
0,34,8,0
0,34,9,0
0,34,10,0
0,35,0,0
0,35,1,0
0,35,2,0
0,35,3,0
0,35,4,0
0,35,5,0
0,35,6,0
0,35,7,0
0,35,8,0
0,35,9,0
0,35,10,0
0,36,0,0
0,36,1,0
0,36,2,0
0,36,3,0
0,36,4,0
0,36,5,0
0,36,6,0
0,36,7,0
0,36,8,0
0,36,9,0
0,36,10,0
0,37,0,0
0,37,1,0
0,37,2,0
0,37,3,0
0,37,4,0
0,37,5,0
0,37,6,0
0,37,7,0
0,37,8,0
0,37,9,0
0,37,10,0
0,38,0,0
0,38,1,0
0,38,2,0
0,38,3,0
0,38,4,0
0,38,5,0
0,38,6,0
0,38,7,0
0,38,8,0
0,38,9,0
0,38,10,0
0,39,0,0
0,39,1,0
0,39,2,0
0,39,3,0
0,39,4,0
0,39,5,0
0,39,6,0
0,39,7,0
0,39,8,0
0,39,9,0
0,39,10,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,0,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,3,0,0
1,3,1,0.12
1,3,2,0.24
1,3,3,0.288571
1,3,4,0.265714
1,3,5,0.242857
1,3,6,0.262857
1,3,7,0.282857
1,3,8,0.234286
1,3,9,0.117143
1,3,10,0
1,4,0,0
1,4,1,0.24
1,4,2,0.48
1,4,3,0.577143
1,4,4,0.531429
1,4,5,0.485714
1,4,6,0.525714
1,4,7,0.565714
1,4,8,0.468572
1,4,9,0.234286
1,4,10,0
1,5,0,0
1,5,1,0.315714
1,5,2,0.631429
1,5,3,0.76
1,5,4,0.701429
1,5,5,0.642857
1,5,6,0.677143
1,5,7,0.711429
1,5,8,0.582857
1,5,9,0.291429
1,5,10,0
1,6,0,0
1,6,1,0.347143
1,6,2,0.694286
1,6,3,0.837143
1,6,4,0.775714
1,6,5,0.714286
1,6,6,0.717143
1,6,7,0.72
1,6,8,0.577143
1,6,9,0.288572
1,6,10,0
1,7,0,0
1,7,1,0.378572
1,7,2,0.757143
1,7,3,0.914286
1,7,4,0.85
1,7,5,0.785714
1,7,6,0.757143
1,7,7,0.728572
1,7,8,0.571429
1,7,9,0.285714
1,7,10,0
1,8,0,0
1,8,1,0.372857
1,8,2,0.745714
1,8,3,0.9
1,8,4,0.835714
1,8,5,0.771428
1,8,6,0.728571
1,8,7,0.685714
1,8,8,0.531429
1,8,9,0.265714
1,8,10,0
1,9,0,0
1,9,1,0.367143
1,9,2,0.734286
1,9,3,0.885714
1,9,4,0.821428
1,9,5,0.757143
1,9,6,0.7
1,9,7,0.642857
1,9,8,0.491429
1,9,9,0.245714
1,9,10,0
1,10,0,0
1,10,1,0.362857
1,10,2,0.725714
1,10,3,0.872857
1,10,4,0.804286
1,10,5,0.735714
1,10,6,0.675714
1,10,7,0.615715
1,10,8,0.468572
1,10,9,0.234286
1,10,10,0
1,11,0,0
1,11,1,0.36
1,11,2,0.72
1,11,3,0.861428
1,11,4,0.784285
1,11,5,0.707143
1,11,6,0.655714
1,11,7,0.604286
1,11,8,0.462857
1,11,9,0.231429
1,11,10,0
1,12,0,0
1,12,1,0.357143
1,12,2,0.714286
1,12,3,0.85
1,12,4,0.764285
1,12,5,0.678571
1,12,6,0.635714
1,12,7,0.592857
1,12,8,0.457143
1,12,9,0.228572
1,12,10,0
1,13,0,0
1,13,1,0.354286
1,13,2,0.708571
1,13,3,0.841428
1,13,4,0.752857
1,13,5,0.664285
1,13,6,0.615714
1,13,7,0.567143
1,13,8,0.434286
1,13,9,0.217143
1,13,10,0
1,14,0,0
1,14,1,0.351429
1,14,2,0.702857
1,14,3,0.832857
1,14,4,0.741428
1,14,5,0.65
1,14,6,0.595714
1,14,7,0.541429
1,14,8,0.411429
1,14,9,0.205714
1,14,10,0
1,15,0,0
1,15,1,0.351429
1,15,2,0.702857
1,15,3,0.83
1,15,4,0.732857
1,15,5,0.635714
1,15,6,0.578571
1,15,7,0.521429
1,15,8,0.394286
1,15,9,0.197143
1,15,10,0
1,16,0,0
1,16,1,0.354286
1,16,2,0.708571
1,16,3,0.832857
1,16,4,0.727143
1,16,5,0.621429
1,16,6,0.564286
1,16,7,0.507143
1,16,8,0.382857
1,16,9,0.191429
1,16,10,0
1,17,0,0
1,17,1,0.357143
1,17,2,0.714286
1,17,3,0.835714
1,17,4,0.721429
1,17,5,0.607143
1,17,6,0.55
1,17,7,0.492857
1,17,8,0.371429
1,17,9,0.185714
1,17,10,0
1,18,0,0
1,18,1,0.354286
1,18,2,0.708571
1,18,3,0.828571
1,18,4,0.714286
1,18,5,0.6
1,18,6,0.54
1,18,7,0.48
1,18,8,0.36
1,18,9,0.18
1,18,10,0
1,19,0,0
1,19,1,0.351429
1,19,2,0.702857
1,19,3,0.821429
1,19,4,0.707143
1,19,5,0.592857
1,19,6,0.53
1,19,7,0.467143
1,19,8,0.348571
1,19,9,0.174286
1,19,10,0
1,20,0,0
1,20,1,0.28
1,20,2,0.56
1,20,3,0.654286
1,20,4,0.562857
1,20,5,0.471429
1,20,6,0.42
1,20,7,0.368571
1,20,8,0.274285
1,20,9,0.137143
1,20,10,0
1,21,0,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,0,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,23,0,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,24,0,0
1,24,1,0
1,24,2,0
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0
1,24,10,0
1,25,0,0
1,25,1,0
1,25,2,0
1,25,3,0
1,25,4,0
1,25,5,0
1,25,6,0
1,25,7,0
1,25,8,0
1,25,9,0
1,25,10,0
1,26,0,0
1,26,1,0
1,26,2,0
1,26,3,0
1,26,4,0
1,26,5,0
1,26,6,0
1,26,7,0
1,26,8,0
1,26,9,0
1,26,10,0
1,27,0,0
1,27,1,0
1,27,2,0
1,27,3,0
1,27,4,0
1,27,5,0
1,27,6,0
1,27,7,0
1,27,8,0
1,27,9,0
1,27,10,0
1,28,0,0
1,28,1,0
1,28,2,0
1,28,3,0
1,28,4,0
1,28,5,0
1,28,6,0
1,28,7,0
1,28,8,0
1,28,9,0
1,28,10,0
1,29,0,0
1,29,1,0
1,29,2,0
1,29,3,0
1,29,4,0
1,29,5,0
1,29,6,0
1,29,7,0
1,29,8,0
1,29,9,0
1,29,10,0
1,30,0,0
1,30,1,0
1,30,2,0
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,0
1,30,7,0
1,30,8,0
1,30,9,0
1,30,10,0
1,31,0,0
1,31,1,0
1,31,2,0
1,31,3,0
1,31,4,0
1,31,5,0
1,31,6,0
1,31,7,0
1,31,8,0
1,31,9,0
1,31,10,0
1,32,0,0
1,32,1,0
1,32,2,0
1,32,3,0
1,32,4,0
1,32,5,0
1,32,6,0
1,32,7,0
1,32,8,0
1,32,9,0
1,32,10,0
1,33,0,0
1,33,1,0
1,33,2,0
1,33,3,0
1,33,4,0
1,33,5,0
1,33,6,0
1,33,7,0
1,33,8,0
1,33,9,0
1,33,10,0
1,34,0,0
1,34,1,0
1,34,2,0
1,34,3,0
1,34,4,0
1,34,5,0
1,34,6,0
1,34,7,0
1,34,8,0
1,34,9,0
1,34,10,0
1,35,0,0
1,35,1,0
1,35,2,0
1,35,3,0
1,35,4,0
1,35,5,0
1,35,6,0
1,35,7,0
1,35,8,0
1,35,9,0
1,35,10,0
1,36,0,0
1,36,1,0
1,36,2,0
1,36,3,0
1,36,4,0
1,36,5,0
1,36,6,0
1,36,7,0
1,36,8,0
1,36,9,0
1,36,10,0
1,37,0,0
1,37,1,0
1,37,2,0
1,37,3,0
1,37,4,0
1,37,5,0
1,37,6,0
1,37,7,0
1,37,8,0
1,37,9,0
1,37,10,0
1,38,0,0
1,38,1,0
1,38,2,0
1,38,3,0
1,38,4,0
1,38,5,0
1,38,6,0
1,38,7,0
1,38,8,0
1,38,9,0
1,38,10,0
1,39,0,0
1,39,1,0
1,39,2,0
1,39,3,0
